Fam ID	Indiv ID	Wsp
DGRP-2-0712	DGRP-2-0712	1
DGRP-2-0714	DGRP-2-0714	0
DGRP-2-0716	DGRP-2-0716	1
DGRP-2-0721	DGRP-2-0721	1
DGRP-2-0727	DGRP-2-0727	1
DGRP-2-0730	DGRP-2-0730	1
DGRP-2-0732	DGRP-2-0732	0
DGRP-2-0737	DGRP-2-0737	1
DGRP-2-0738	DGRP-2-0738	1
DGRP-2-0748	DGRP-2-0748	1
DGRP-2-0757	DGRP-2-0757	0
DGRP-2-0761	DGRP-2-0761	1
DGRP-2-0765	DGRP-2-0765	0
DGRP-2-0774	DGRP-2-0774	0
DGRP-2-0776	DGRP-2-0776	1
DGRP-2-0783	DGRP-2-0783	1
DGRP-2-0786	DGRP-2-0786	1
DGRP-2-0787	DGRP-2-0787	1
DGRP-2-0790	DGRP-2-0790	1
DGRP-2-0796	DGRP-2-0796	1
DGRP-2-0799	DGRP-2-0799	0
DGRP-2-0801	DGRP-2-0801	1
DGRP-2-0802	DGRP-2-0802	1
DGRP-2-0804	DGRP-2-0804	1
DGRP-2-0805	DGRP-2-0805	1
DGRP-2-0808	DGRP-2-0808	0
DGRP-2-0810	DGRP-2-0810	0
DGRP-2-0812	DGRP-2-0812	0
DGRP-2-0818	DGRP-2-0818	0
DGRP-2-0819	DGRP-2-0819	1
DGRP-2-0820	DGRP-2-0820	0
DGRP-2-0821	DGRP-2-0821	1
DGRP-2-0822	DGRP-2-0822	0
DGRP-2-0832	DGRP-2-0832	1
DGRP-2-0837	DGRP-2-0837	1
DGRP-2-0843	DGRP-2-0843	0
DGRP-2-0849	DGRP-2-0849	0
DGRP-2-0850	DGRP-2-0850	1
DGRP-2-0852	DGRP-2-0852	1
DGRP-2-0853	DGRP-2-0853	1
DGRP-2-0855	DGRP-2-0855	1
DGRP-2-0857	DGRP-2-0857	0
DGRP-2-0859	DGRP-2-0859	1
DGRP-2-0861	DGRP-2-0861	1
DGRP-2-0879	DGRP-2-0879	1
DGRP-2-0882	DGRP-2-0882	1
DGRP-2-0884	DGRP-2-0884	1
DGRP-2-0890	DGRP-2-0890	1
DGRP-2-0892	DGRP-2-0892	1
DGRP-2-0897	DGRP-2-0897	1
DGRP-2-0900	DGRP-2-0900	0
DGRP-2-0907	DGRP-2-0907	0
DGRP-2-0908	DGRP-2-0908	0
DGRP-2-0911	DGRP-2-0911	0
DGRP-2-0913	DGRP-2-0913	1
DGRP-3-0001	DGRP-3-0001	0
DGRP-3-0002	DGRP-3-0002	1
DGRP-3-0003	DGRP-3-0003	0
DGRP-3-0004	DGRP-3-0004	0
DGRP-3-0005	DGRP-3-0005	1
DGRP-3-0006	DGRP-3-0006	0
DGRP-3-0007	DGRP-3-0007	1
DGRP-3-0008	DGRP-3-0008	1
DGRP-3-0009	DGRP-3-0009	1
DGRP-3-0010	DGRP-3-0010	1
DGRP-3-0011	DGRP-3-0011	0
DGRP-3-0012	DGRP-3-0012	0
DGRP-3-0013	DGRP-3-0013	1
DGRP-3-0014	DGRP-3-0014	1
DGRP-3-0015	DGRP-3-0015	0
DGRP-3-0016	DGRP-3-0016	0
DGRP-3-0017	DGRP-3-0017	1
DGRP-3-0018	DGRP-3-0018	1
DGRP-3-0019	DGRP-3-0019	0
DGRP-3-0020	DGRP-3-0020	1
DGRP-3-0021	DGRP-3-0021	1
DGRP-3-0022	DGRP-3-0022	0
DGRP-3-0023	DGRP-3-0023	1
DGRP-3-0024	DGRP-3-0024	0
DGRP-3-0025	DGRP-3-0025	1
DGRP-3-0026	DGRP-3-0026	0
DGRP-3-0027	DGRP-3-0027	1
DGRP-3-0028	DGRP-3-0028	0
DGRP-3-0029	DGRP-3-0029	0
DGRP-3-0030	DGRP-3-0030	1
DGRP-3-0031	DGRP-3-0031	0
DGRP-3-0032	DGRP-3-0032	0
DGRP-3-0033	DGRP-3-0033	0
DGRP-3-0034	DGRP-3-0034	1
DGRP-3-0035	DGRP-3-0035	1
DGRP-3-0036	DGRP-3-0036	1
DGRP-3-0037	DGRP-3-0037	0
DGRP-3-0038	DGRP-3-0038	1
DGRP-3-0039	DGRP-3-0039	1
DGRP-3-0040	DGRP-3-0040	0
DGRP-3-0041	DGRP-3-0041	0
DGRP-3-0042	DGRP-3-0042	1
DGRP-3-0043	DGRP-3-0043	0
DGRP-3-0044	DGRP-3-0044	1
DGRP-3-0045	DGRP-3-0045	0
DGRP-3-0046	DGRP-3-0046	1
DGRP-3-0047	DGRP-3-0047	0
DGRP-3-0048	DGRP-3-0048	1
DGRP-3-0049	DGRP-3-0049	1
DGRP-3-0050	DGRP-3-0050	0
DGRP-3-0051	DGRP-3-0051	1
DGRP-3-0052	DGRP-3-0052	1
DGRP-3-0053	DGRP-3-0053	0
DGRP-3-0054	DGRP-3-0054	0
DGRP-3-0055	DGRP-3-0055	0
DGRP-3-0056	DGRP-3-0056	0
DGRP-3-0057	DGRP-3-0057	1
DGRP-3-0058	DGRP-3-0058	0
DGRP-3-0059	DGRP-3-0059	1
DGRP-3-0060	DGRP-3-0060	0
DGRP-3-0061	DGRP-3-0061	1
DGRP-3-0062	DGRP-3-0062	1
DGRP-3-0063	DGRP-3-0063	0
DGRP-3-0064	DGRP-3-0064	1
DGRP-3-0065	DGRP-3-0065	0
DGRP-3-0066	DGRP-3-0066	1
DGRP-3-0067	DGRP-3-0067	0
DGRP-3-0068	DGRP-3-0068	1
DGRP-3-0069	DGRP-3-0069	0
DGRP-3-0070	DGRP-3-0070	1
DGRP-3-0071	DGRP-3-0071	1
DGRP-3-0072	DGRP-3-0072	1
DGRP-3-0073	DGRP-3-0073	1
DGRP-3-0074	DGRP-3-0074	0
DGRP-3-0075	DGRP-3-0075	0
DGRP-3-0076	DGRP-3-0076	1
DGRP-3-0077	DGRP-3-0077	0
DGRP-3-0078	DGRP-3-0078	1
DGRP-3-0079	DGRP-3-0079	1
DGRP-3-0080	DGRP-3-0080	0
DGRP-3-0081	DGRP-3-0081	1
DGRP-3-0082	DGRP-3-0082	0
DGRP-3-0083	DGRP-3-0083	0
DGRP-3-0084	DGRP-3-0084	1
DGRP-3-0085	DGRP-3-0085	1
DGRP-3-0086	DGRP-3-0086	0
DGRP-3-0087	DGRP-3-0087	1
DGRP-3-0088	DGRP-3-0088	1
DGRP-3-0089	DGRP-3-0089	1
DGRP-3-0090	DGRP-3-0090	1
DGRP-3-0091	DGRP-3-0091	0
DGRP-3-0092	DGRP-3-0092	1
DGRP-3-0093	DGRP-3-0093	1
DGRP-3-0094	DGRP-3-0094	1
DGRP-3-0095	DGRP-3-0095	1
DGRP-3-0096	DGRP-3-0096	0
DGRP-3-0097	DGRP-3-0097	1
DGRP-3-0098	DGRP-3-0098	0
DGRP-3-0099	DGRP-3-0099	1
DGRP-3-0100	DGRP-3-0100	1
DGRP-3-0101	DGRP-3-0101	1
DGRP-3-0102	DGRP-3-0102	1
DGRP-3-0103	DGRP-3-0103	0
DGRP-3-0104	DGRP-3-0104	1
DGRP-3-0105	DGRP-3-0105	1
DGRP-3-0106	DGRP-3-0106	0
DGRP-3-0107	DGRP-3-0107	0
DGRP-3-0108	DGRP-3-0108	1
DGRP-3-0109	DGRP-3-0109	1
DGRP-3-0110	DGRP-3-0110	0
DGRP-3-0111	DGRP-3-0111	1
DGRP-3-0112	DGRP-3-0112	1
DGRP-3-0113	DGRP-3-0113	1
DGRP-3-0114	DGRP-3-0114	1
DGRP-3-0115	DGRP-3-0115	1
DGRP-3-0116	DGRP-3-0116	1
DGRP-3-0117	DGRP-3-0117	1
DGRP-3-0118	DGRP-3-0118	0
DGRP-3-0119	DGRP-3-0119	0
DGRP-3-0120	DGRP-3-0120	1
DGRP-3-0121	DGRP-3-0121	1
DGRP-3-0122	DGRP-3-0122	0
DGRP-3-0123	DGRP-3-0123	0
DGRP-3-0124	DGRP-3-0124	1
DGRP-3-0125	DGRP-3-0125	1
DGRP-3-0126	DGRP-3-0126	0
DGRP-3-0127	DGRP-3-0127	0
DGRP-3-0128	DGRP-3-0128	0
DGRP-3-0129	DGRP-3-0129	1
DGRP-3-0130	DGRP-3-0130	1
DGRP-3-0131	DGRP-3-0131	1
DGRP-3-0132	DGRP-3-0132	1
DGRP-3-0133	DGRP-3-0133	1
DGRP-3-0134	DGRP-3-0134	1
DGRP-3-0135	DGRP-3-0135	1
DGRP-3-0136	DGRP-3-0136	1
DGRP-3-0137	DGRP-3-0137	1
DGRP-3-0138	DGRP-3-0138	0
DGRP-3-0139	DGRP-3-0139	1
DGRP-3-0140	DGRP-3-0140	0
DGRP-3-0141	DGRP-3-0141	1
DGRP-3-0142	DGRP-3-0142	1
DGRP-3-0143	DGRP-3-0143	1
DGRP-3-0144	DGRP-3-0144	1
DGRP-3-0145	DGRP-3-0145	0
DGRP-3-0146	DGRP-3-0146	1
DGRP-3-0147	DGRP-3-0147	1
DGRP-3-0148	DGRP-3-0148	1
